headline,date,document_type,type_of_material,section_name,keywords,snippet,source,lead_paragraph
News of dogs; Educational Movies About Dogs Are in Demand Among Fanciers,1964-03-19,article,Archives,Archives,[],,The New York Times,"THERE are too few educational motion pictures on dogs to meet a great dethand by newcomers to the breeding field, 1Virs: Shaw Benderly, a collie breeder of Wallkill, N. Y., said . yesterday. Her comments were in connection with a tilm presented at the Dog Fanciers Luncheon Club meeting in Luchow's Restaurant. It dealt with whelping at the Wind Song Ken nels, which Mrs. Benderly owns with her husband. The motion picture was the second made by Mrs. Benderly for the Collie Club of America. Unlike most amateur productions, it has gained considerable national circulation. “I doubt that motion pictures showing the operations of a kennel wouid have much popular appeal, but there is a great deal of interest within the clubs,” she said. “There aren't;too many educational films on dogs around. I know that we cannot keep up with the demand within the collie breed and I'm sure that there is similar demand within other breeds.”"
News of Dogs; Whippets Have Room to Roam On 200‐Acre Long Island Estate,1964-09-17,article,Archives,Archives,[],,The New York Times,"A dog's life is a happy one at the Mardormere Kennels. On the 200‐acre estate owned by Mr. and Mrs. George A. Anderson of Glen Head L. I., there are 50 individual runs and two large fenced‐in fields so Mardormere's, whippets will have plenty of room to exercise and play."
He Predicts U.S. Defeat,1964-08-17,article,Archives,Archives,"['MISCELLANEOUS SECTION', 'MISCELLANEOUS SECTION']",says N and S Vietnam will soon be reunited,The New York Times,"JAKARTA, Monday, Aug. 17 (AP)—President Sukarno in his Independence Day speech today predicted that the United States would he defeated in South Vietnam. He said Communist North Vietnam would “soon be reunited” with the South."
Boston Uses Toxic Bait To Eradicate Pigeons,1964-02-25,article,Archives,Archives,['Birds'],"Boston sets out poison bait, seeks to eliminate 10,000",The New York Times,"BOSTON, Feb. 24 (AP)—The city of Boston moved against its famous pigeon flocks today. Park Department employes set out poison in an effort to eliminate 10,000 birds by Thursday."
Books and Authors,1964-10-16,article,Archives,Archives,[],,The New York Times,"“An American Family: The Tafts, 1678-1964,” by Ishbel Ross, will be published as a New American Library‐World book on Nov. 9. Some of the men of the family described in this book are Alphonso Taft, Secretary of War in Grant's administration; Charles Phelps Taft, publisher of the Cincinnati Times‐Star; Wiiliam Howard Taft, President and Chief Justice; Horace Taft, founder of the. Taft School; Harry Taft, a founder of Town Hall, trustee of the New York Public Library and backer of the Salvation Army, and Senator Robert A. Taft."
"Wood, Field and Stream",1964-08-25,article,Archives,Archives,[],,The New York Times,"WHEN I went home the other night and found my wife boiling two impala skulls in a bucket on the stove, the thought occurred to me that, out of common decency, outdoor writers ought to acknowledge just how much of a help their helpmates are."
BURCH UPBRAIDS JOHNSON ON ARMS Says President ‘Lied’ Over Control of A‐Weapons,1964-09-25,article,Archives,Archives,"['International Relations', ""PRESIDENTIAL ELECTION OF '64"", 'CANDIDATES', 'SEPTEMBER 16-30', 'MILLER ACTIVITIES', ""PRESIDENTIAL ELECTION OF '64"", 'ISSUES', 'MISCELLANEOUS SECTION', ""PRESIDENTIAL ELECTION OF '64"", 'CANDIDATES', 'SEPTEMBER 16-30', 'STRATEGY', 'STRATEGY', 'STRATEGY']","denies Goldwater advocated relinquishing Pres 'responsibility,'",The New York Times,"WASHINGTON, Sept. 27 —The Republican National Chairman, Dean Burch, charged today that President Johnson “has patently lied to the people of the United States” about the delegation of authority to the North Atlantic Treaty commander for the use of nuclear weapons."
YONKERS ADDITION NEAR COMPLETION; Mezzanine Betting Area to Be Set by May 14 Opening,1964-05-05,article,Archives,Archives,[],,The New York Times,"YONKERS, May 4 — The new wagering area in the mezzanine of the grandstand at Yonkers Raceway will be ready when the Westchester County harness racing plant launches its 66‐night spring meeting on May 14. This was obvious today as Martin Tananbaum, the raceway president, led an inspection tour through the new section."
Cell Reaction to Transplant Observed,1964-02-15,article,Archives,Archives,['TRANSPLANTS (PHYSIOLOGICAL)'],Dr Kountz repts scientists at Stanford U and London Med School observe rejection mechanism operating at cell level,The New York Times,"NEW ORLEANS, Feb. 14 (AP)—Scientists may have seen close‐up the many, tiny battles between cells that seem to block the practical transplanting of organs."
Article 5 -- No Title,1964-02-04,article,Archives,Archives,[],,The New York Times,"PARIS, Feb. 3— Yves St. Laurent's press show (a triumph when shown to buyers later in the day) started with a minor embarrassment. The Vicomtesse Jacqueline de Ribes arrived at 10:25 wearing the same St. Laurent suit as an unidentified woman. The Vicomtesse paid no attention, but her twin hastily took off her jacket."
Woman Hit by Flying Plank While Walking in Midtown,1964-01-27,article,Archives,Archives,[],,The New York Times,"A woman was struck on the head last night by a 15‐footlong plank that apparently was blown off a building under contion on the Avenue of the Americas, between 51st and 52d Streets, according to the police."
67 Lambs Suffocated As Dogs Set Off Panic,1964-06-11,article,Archives,Archives,[],,The New York Times,Three dogs slipped into a Brooklyn slaughterhouse early yesterday panicking 375 lambs in two pens. Sixtyseven lambs were found dead of suffocation.
TRIP TO FAIR MADE BY MRS. KENNEDY,1964-05-01,article,News,Archives,"['Mental Health and Disorders', ""World's Fair of 1964-65 (NYC)""]",Mrs Kennedy visits NYC World's Fair with Caroline; illus; does not attend Mental Health Wk ceremonies because of mourning,The New York Times,"Mrs. John F. Kennedy visited 11 exhibits at the World's Fair yesterday, all of them on the light side, and said she hoped many of the things she saw could remain after the fair."
TOY POODLE GETS ANNAPOLIS PRIZE; Mrs. Levy's I'm a Dandee Is Best in Field of 748 Dogs,1964-08-17,article,Archives,Archives,[],,The New York Times,"ANNAPOLIS, Md., Aug. 16—Ch. Loramar's I'm a Dandee, a brown toy poodle owned by Mrs. Robert D. Levy of Miami, was named best in show today at the Annapolis Kennel Club's 13th annual dog show."
"New Books for the Younger Reader's Bookshelf; ISLAND ZOO. By Gerald Durrell. Photographs by W. Suschitzky. 64 pp. Philadelphia: Macrae Smith. $3.50.; For Ages 10 to 14.; MY FAVORITE ANIMAL STORIES. Chosen by Gerald Durrell. Illustrat­ed by P. A, Hutchison. 174 pp. New York: McGraw‐Hill. $2.95.; For Ages 12 aad Up.; MAMMALS AND HOW THEY LIVE. By Robert M. McClung. Photo­graphs. 83 pp. New York: Random House. $1.95.; For Ages 7 to 10.; BOOK OF WILD BEASTS: Animals of East Africa. By Walter J. Wil­werding. Illustrated by the author. 95 pp. New York: G. P. Putnam's Sons. $3.95.; For Ages 10 to 14.",1964-01-26,article,Archives,Archives,[],,The New York Times,"THE best way to go about catching a Patagonian armadillo is to hunt at night with a dog, a flashlight and a shoveland, preferably, with an Argentine guide who knows his way around in the dark. So says Gerald Durrell in “Island Zoo,” and Mr. Durrell ought to know, having caught at least as many wild animals as some dogs have fleas. The armadillo in question, Henrietta, is one of a troupe of creatures introduced in this appealing book under the collective heading of “animals a famous collector couldn't part with.” Henrietta's exotic companions range from the potto to the 13lined group squrrrel. All are residents of the Jersey Zoological Park in the Channel Islands, a zoo founded by Mr. Durrell as an extra‐special refuge for some of the increasingly rare wildlife he has collected in his travels on behalf of othaer zoos. Mr. Durrell's affectionate concern for his “old friends” comes across in nearly every line of anecdote and reminiscence. The photographs are excellent."
News of Dogs; Search for Pet Leads to a Champion,1964-11-05,article,Archives,Archives,[],,The New York Times,"WHEN Arthur Higgins and his wife bought a Dalmatian 15 years ago they had no intention of showing him. They merely wanted a pet for their daughter at their home in Syosset, L. I."
News of Dogs; Surgeon Relaxes With Great Danes; Dr. Spinelli Utilizes Medical Knowledge in Raising Pups,1964-08-20,article,Archives,Archives,[],,The New York Times,WHAT do busy Park Avenue doctors do to relax? Some play golf or tennis. Others paint in oils and water colors. Some are photography enthusiasts. And then there's Dr. Anthony N. Spinelli.
Thoughts That Count,1964-12-13,article,Archives,Archives,[],,The New York Times,"AS the Yuletide spirit sweeps the country once again, an age‐old question occurs to men of goodwill : How can they help those more fortunate than themselves, those overprivileged people and pets who are apt to be skipped by Santa simply because they have everything? Luckily, the plight of the pampered has not gone unconsidered by stores with a social conscience. In the past they’ve strewn cheer with such items as mink overalls, a sterling silver spade, a set of His and Her dueling pistols, a $400 gold shoe horn. This year again, the stores have not shirked their duty. Here, for those of sound wallet who really care, is a brief report from the Big Gift front."
Corduroy Is Used In New Fashions,1964-08-12,article,Archives,Archives,[],,The New York Times,"Corduroy—almost always the wide wale variety—is being handled in unexpected ways by fashion designers this fall. The fabric, known for the durability and easy laundering that have endeared it to the mothers of small boys, has now acquired feminine airs. In shock colors like hot orange, it is appearing in cocktail or theater suits."
CONIFF PUPPY WINS AT SETTER TRIALS,1964-10-24,article,Archives,Archives,[],,The New York Times,"MEDFORD, N. J., Oct. 23 —Pumpkin Hill Fleck, an English setter owned and handled by Edward Coniff, Weston, Conn., won the puppy stake at the English Setter Club of. America's fall trials today."
U. S. Oil Companies Begin Drilling in the North Sea,1964-12-21,article,Archives,Archives,[],,The New York Times,"American Overseas Petroleum, Ltd., an affiliate of Texaco, Inc., and the Standard Oil Company of California, has started drilling in the North Sea. This is the first well to be started on Britain's portion of the Continental shelf in the oil and gas search. A mobile drilling barge, known as Mr. Cap, has been towed to the drilling site on the Dogger Bank some 170 miles east of Newcastle and almost in the center of the North Sea. The drilling rig has been winterized and plans are to keep it in operation through out the winter. The drilling operations will be closely watched because some 50 companies have been granted exploration licenses in the North Sea. Although many of these have carried out extensive seismic research operations, this wildcat test will be the first to provide a definite idea of what may be expected in the way of oil and gas production from the area."
Shop Sitter Aids Stores And Herself,1964-05-07,article,Archives,Archives,[],,The New York Times,"THERE are baby sitters, dog sitters and even parakeet sitters. Mrs. Robert L. Walter is a shop sitter. She comes in to mind the store when the owner has to be away."
News of Dogs; Spaniel's Triumph Focuses Spotlight On Owner's Career,1964-06-25,article,Archives,Archives,[],,The New York Times,"“I CONSIDER. Pops the greatest cocker spaniel I’ve ever seen,” said Mrs. H. Terrell Van Ingen of Round Hill, Conn."
POMPANO PONIES; Resort Plans to Resume Racing This Year,1964-06-07,article,Archives,Archives,"['Horses', 'RACES AND RACE HORSES']",Pompano Pk (Fla) plans 90-night winter meet; work on pk resumed after state Sup Ct approved pari-mutuel betting,The New York Times,"POMPANO BEACH, Fla.—Harness racing with parimutuel betting at Pompano Park has been approved by the State Supreme Court after a fight that has lasted for several years. As a result, work has been resumed on multimillion‐dollar Pompano Park, which had a 45‐day season last winter under the decisionn of a lower court."
News of Dogs: Obedience Rules Clarified Under New Code: Revised A.K.C. Regulations to Go Into ffed on July 1 —No Retraining Needed,1964-04-30,article,Archives,Archives,[],,The New York Times,"REVISED American Kennel IV Club rules for obedience competition, the form of ca‐nine activity in which dogs are scored on their ability to perform specific exercises of various degrees of difficulty, will go into effect on July 1. No one needs retrain his dog to meet the new regulations, nor have any changes been made in the basic exercises. Instead, the new code rep‐resents a clarifi‑ cation of the old. Ambiguities have been removed and the descriptions of what dogs are eligible for what  classes have been tightened. The revisions are based on several years of observations and rulings made by the A.K.C. and on sugges‐tions made by outside groups. The rewriting was done by John Brownell of the A.K.C. executive staff. The result has met with wide approval in the obedience fraternity."
FAIR'S KITCHENS: STUDIES IN STEEL; Workmen Rushing to Install Equipment by Wednesday,1964-04-20,article,Archives,Archives,['DEATHS'],"Steffens, Fritz",The New York Times,"It was high noon and the question was, of course, “any place around here to get a hot dog?”"
"Letters to The Times; Liquor ‘Reform’ Assailed; Destruction of Small Retailer Seen in Chain Selling, Price Wars",1964-04-02,article,Archives,Archives,['Liquor'],Save Our Stores Com chmn L Bandell and R Campanella lr scores Rockefeller's proposed legis,The New York Times,To the Editor:
JOHNSON HONORS 19 WHO CUT COSTS; Pentagon Puts Total Saving for Year at $2.5 Billion,1964-07-22,article,Archives,Archives,"['DECORATIONS AND HONORS', 'UNITED STATES ARMAMENT AND DEFENSE', 'BUDGET']","19 receive Ctfs of Merit from Johnson, Pentagon ceremony",The New York Times,"WASHINGTON, July 21—President Johnson, the nation“s leading saver of electric current, beat a path today to the door of a man who had discovered how to make a cheaper “dog tag.”"
Observer,1964-03-08,article,Archives,Archives,[],,The New York Times,"WASHINGTON, March 7—The most satisfying way ever devised for settling old scores among nations is the tourist guidebook. When artfully written, it incorporates the elegant sneer and the gratuitous insult under the smile of brotherhood. For nearly.twenty years, the guidebook attack has been almost entirely an American resource, but now that Europeans are beginning to come here for vacations the Americans are getting a taste,of their own medicine. Here, translated from a popular French guide to America, entitled “The Manischewitz Drinkers”, is an illustration of just what can be dont without firing a shot."
Wrath Voiced in Chicago,1964-04-29,article,Archives,Archives,['Animals'],White House gets many protests; Johnson says he pulled ears for photographers benefit and that newsman wrote story about his being inhumane; animal welfare agencies upset,The New York Times,"CHICAGO, April 28—Hundreds of Chicagoans expressed their wrath to animal welfare agencies to day over President Johnson's pulling his beagles’ ears."
200 Cat Lovers in Jersey Fight Rule to Impound Pets,1964-01-25,article,Archives,Archives,['Cats'],"Owners protest ordinance requiring them to confine pets to property, Whippany, NJ",The New York Times,"WHIPPANY, N. J.. Jan. 24—Two hundred cat lovers petitioned Mayor John M. Fraser last night to have rescinded an ordinance requiring all cats to be confined to their owners' property."
Muslim Scores Violence,1964-05-08,article,Archives,Archives,[],Black Muslim leader E Muhammad scores violence,The New York Times,"PHOENIX, Ariz., May 7 (AP)—The leader of the Black Muslim movement condemned today any violence on the part of Negroes."
It Ran In the Family; THE GOLDEN BEES: The Story of the Bonapartes. By Theo Aronson. Illustrated. 407 pp. Greenwich. Conn.: New York Graphic Society. $8.95.,1964-09-13,article,Archives,Archives,[],T Aronson book on family revd,The New York Times,"FAMILY histories have a peculiar fascination, and there are few families quite so fascinating as the Bonapartes. In this book (his first), Theo Aronson, an amateur historian, does his subject justice; that is to say, he is entertaining, interesting, conscientious and to the point. The title of the book, however, is unfortunate—but then publishers tend to hate straightforward titles and have a way of pressuring authors into dreaming up silly ones. “The Gilded Drones” would be more appropriate than “The Golden Bees.” For indeed, there rarely was a more greedy, grasping, frivolous, lazy, sensual lot than the Bonapartes."
DAYTONA ADDING SPACE FOR TOURISTS,1964-04-05,article,Archives,Archives,"['Travel and Vacations', 'DESCRIPTIONS AND ATTRACTIONS']",Daytona Beach,The New York Times,"DAYTONA BEACH, Fla. —Probably at no time in this city's history as a tourist resort has there been such a boom in the construction of lodging facilities. Five new motels are being built, as well as apartment houses."
Sports of The Times; A Mighty Stout Fella,1964-05-18,article,Archives,Archives,[],A Daley on career; illus,The New York Times,"LATE last season, Steve Owen arrived unannounced at the offices of the New York Football Giants. He had been something of a rolling stone for most of the 10 years since he had reluctantly yielded his portfolio as head coach after the 1953 season. He had taken a whirl on a couple of college staffs and as line coach of the Eagles. He had moved around in the Canadian League and finally had been squeezed out of a post in the minors. So he returned home."
"Dr. Clarence P. Zepp Sr., 72; Directed Animal Hospital",1964-10-03,article,Archives,Archives,['DEATHS'],"Zepp, Clarence P Sr",The New York Times,"Dr. Clarence P. Zepp Sr., a past president of the American Veterinary Medical Association, died yesterday in his office at the Miller Dog and Cat Hospital at 136 West 53d Street, of which he was the director. He was 72 years old."
Frankfurter Fat Not Fixed by State,1964-07-17,article,Archives,Archives,[],,The New York Times,"There is no law fixing a maximum fat content allowed or specifying the parts of the animal that may be used in frankfurters in New York State. New Yorkers are assured that all the meat is clean, wholesome and edible, as the city requires that all meat be inspected."
"H.O.DAV1S,87,DIES; EARLY MOVIEMAKER",1964-08-29,article,Archives,Archives,['DEATHS'],"Davis, H O",The New York Times,"PALM SPRINGS, Calif,, Aug. 28 (AP) — H. O. Davis, Journalist, movie executive and automobile builder, died today.: He was 87 years old."
"REV. GEORGE TATUM, A M'KINLEY CLIMBER",1964-01-28,article,Archives,Archives,['DEATHS'],"Tatum, Robt G",The New York Times,"KNOXVILLE, Tenn., Jan: 27—The Rev. Robert George Tatum, a retired Protestant Episcopal minister who shared the fame of the first party to attain the apex of Mount McKinley, died here yesterday. He was 72 years old."
Children's Village Enjoys Dobbs Ferry Hootenanny,1964-02-03,article,Archives,Archives,[],,The New York Times,"DOBBS FERRY, N. Y., Feb. 2—The 300 boys of the Children's Village, assisted by volunteer talent from several Westchester organizations, participated this afternoon in a Western hootenanny on the campus of the 112‐year‐old residential treatment center for emotionally disturbed and delinquent boys."
Just Average,1964-10-18,article,Archives,Archives,[],,The New York Times,"The average American shaves two square miles of face during his lifetime, felling some 250,000,000 whiskers."
Goldwater Appraised Candidate's Philosophy,1964-07-21,article,Archives,Archives,[],,The New York Times,To the Editor:
Suit to Bar TV Bulifights Accuses Chicago Station,1964-05-09,article,Archives,Archives,['Bullfighting'],Natl Anti-Vivisection Soc sues Chicago station to bar televising of bullfights taped in Mex City,The New York Times,"CHICAGO, May 8 — A suit to stop the televising of bullfights over U. H. F. television Channel 26 in Chicago was filed here today in Federal District Court by the National AntiVivisection Society."
Columbia Players to Begin ‘Troubleshootore’ Tonight,1964-05-07,article,Archives,Archives,[],,The New York Times,"The Columbia University Players will present “Il Troubleshootore” tonight at the Wollman Auditorium in Ferris Booth Hall. The 70th annual varsity show, which will run for four days, is about a struggling artist's effort to reform the old West with the help of a barhall entertainer and a dead Indian. girl."
"Warning to Ma It's The Year of the Dragon; That's according to the Oriental zodiac, and it has always been a bad year for him.",1964-03-01,article,Archives,Archives,['MISCELLANEOUS SECTION'],Hughes article on his career and personality as revealed in Oriental zodiac; illus,The New York Times,HONG KONG.
Pattern Aids In Adjusting Fit of Pants,1964-10-15,article,Archives,Archives,[],,The New York Times,"WOMEN have apparently won the right to wear pants in their homes or publicly in the supermarkets and in the parks, provided they are marketing, walking the dog or minding the children. Heated discussions about whether the privilege of wearing pants extends to the office and the city streets have enlivened many cocktail and dinner parties this fall. Many men have, stoutly proclaimed that they did not want their wives to be seen lunching in town wearing pants."
QUALITY OF TOYS SCORED IN SOVIET; Press Criticizes Curbs on ’Military’ Playthings,1964-12-30,article,Archives,Archives,[],,The New York Times,"MOSCOW, Dec. 29 — What has a dog's head, a rough body, elephantlike legs, a thick tail ending in a shaving brush and the scaly crest of a dinosaur running down its back? Answer : A Soviet toy."
Female Labrador Takes National Retriever Title,1964-11-22,article,Archives,Archives,[],,The New York Times,"WELDON SPRING, Mo., Nov. 21 (AP)—A female black Labrador gained the national retriever title today after winning the 10th series of the competition. The winner, Ripco's V. C. Morgan, was the fourth female ever to take the title."
Books of The Times; End Papers,1964-01-22,article,Archives,Archives,['BOOK REVIEWS'],"Kazakov, Y: Going to Town. And Other Stories",The New York Times,"GOING TO TOWN AND OTHER STORIES. By Yuri Kazakov. 325 pp. Houghton Mifflin Co., Boston. $4.95."
Books of The Times; End Papers,1964-10-13,article,Archives,Archives,['BOOK REVIEWS'],"Fairbairn, D: A Gazell on the Lawn",The New York Times,A GAZELLE ON THE LAWN. By Douglas Fairbairn. 262 pages. New York: Random House. $4.?5.
Bronx Barricader Ordered To Hospital for Observation,1964-12-26,article,Archives,Archives,[],,The New York Times,"John De La Rosa, 45‐year‐old former mental patient who was captured Thursday night in his Bronx apartment he had barricaded after arming himself with a rifle, was committed yes‐ terday to the Department of Hospitals for observation. He appeared before Bronx Criminal Court Judge Mitchell Bloom."
3 Die as Plane Crashes Into Mountain at Scranton,1964-11-27,article,Archives,Archives,[],,The New York Times,"SCRANTON, Pa., Nov. 26 (UPI)—Two women and a man were killed today when their light plane crashed into a mountain and exploded, tumbling wreckage onto farmland near golfers at à nearby country club."
A Pet Peeve,1964-07-27,article,Archives,Archives,[],,The New York Times,"CHICAGO, July 26 — Organized veterinarians are worried about public housing authorities who deny tenants the privilege of keeping pets. A resolution about it was introduced last week at the annual meeting of the American Veterinary Medical Association here."
Bread Cast on River In Westport Returns Four Crusty Geese,1964-03-25,article,Archives,Archives,[],,The New York Times,"WESTPORT, Conn., March 24—The bread that local residents cast on the Saugatuck River has come back to honk them."
A.S.P.C.A. Reports A Decline in Cases Of Cruelty in City,1964-02-17,article,Archives,Archives,['Animals'],"ASPCA repts cruelty cases down, NYC; notes special services continue",The New York Times,The American Society for the Prevention of Cruelty to Animals reported yesterday that it was finding fewer instances of cruelty in New York City.
Robert Kennedy Is Jolted As Limousine Is Rammed,1964-01-10,article,Archives,Archives,[],,The New York Times,"WASHINGTON, Jan. 9 (AP) —Three women were slightly injured but Attorney General Robert F. Kennedy escaped harm today when an auto rammed the rear of the Kennedy limousine as he rode to the Justice Department from his Virginia home. He was slightly shaken up."
"Queens Mother Kills Son, Critically Wounds Herself",1964-08-12,article,Archives,Archives,[],,The New York Times,"A Queens mother sent her 3‐year‐old daughter to safety yesterday and then shot and killed her 6‐year‐old son and critically wounded herself, according to the police."
Show of Pop Art Objects Closes Before Opening,1964-07-03,article,Archives,Archives,"['Art', 'SHOWS', 'GENERAL GROUPS', 'MISC']",Pop show at Pepsi-Cola Co hq withdrawn after press preview,The New York Times,"An elaborate lobby display of Pop art objects, sponsored by the Pepsi‐Cola Company at its headquarters, 500 Park Avenue, was withdrawn without explanation after its press preview on Tuesday evening."
Perth Amboy Orders Cat Owners to Buy Tags for Their Pets,1964-08-06,article,Archives,Archives,['Cats'],"Perth Amboy, NJ, requires licensing",The New York Times,"PERTH AMBOY, N. J., Aug. 5—The cats of Perth Amboy—like the dogs—must now wear tags."
"One Marriage Took Place At Auschwitz, Inmate Says",1964-08-01,article,Archives,Archives,['JEWS'],Frankfurt trial of Auschwitz camp guards; Mrs R Kagan testifies on treatment of women,The New York Times,"BONN, July 31—Only one marriage took place at the Auschwitz concentration camp, where the Nazis killed an estimated total of three million people during World War II, a Frankfurt assize court was told today."
Letters to The Times; Use of Dogs in Riots,1964-05-27,article,Archives,Archives,['Police'],lr deplores police use of dogs against people,The New York Times,To THE EDITOR:
Riverside Church to Open A Drama Season June 28,1964-06-15,article,News,Archives,[],,The New York Times,"The Riverside Church will present a season of repertory productions from June 28 through Aug. 4 in its 270‐seat theater at Riverside Drive and 122d Street. The first drama, Stephen Vincent Ben's “John Brown's Body,” will open June 28 at 7:30 P.M. Chorus music has been composed by Fenno Heath and will be conducted by Donna Brunsma."
Carmichaels Fanfare and Blue Crystal Capture Terrier Breed Awards Here; NEW CAMPAIGNERS ALSO IN SPOTLIGHT; Three Reach Championship Status as 516 Compete in Specialty Fixture,1964-02-10,article,Archives,Archives,[],,The New York Times,Tested campaigners who had not been found wanting and a scattering of new blood were among the principal winners yesterday at the Associated Terrier Clubs specialty. There were 516 dogs in 10 breeds at t the 102d Engineers Battalion Armory.
Vacationers Are Offered Beauty Aids,1964-06-06,article,Archives,Archives,[],,The New York Times,SUMMER heat is as certain as taxes and there is not much one can do about it except reach for the small comforts that make it more bearable. A number of new products that help to make one feel and look less wilted during the dog days have recently arrived in cosmetics departments.
BEST IN SHOW WON BY TWINKLE STAR; Skye Terrier Scores First Victory in Jersey Fixture,1964-05-25,article,Archives,Archives,[],,The New York Times,"LINDEN, N.J. May 24 —The Glamoor Kennels' Skye tenter, Ch. Glamoor Twinkle Star gained her first variety group triumph, and her first best in. show at today's 790‐dog Plainfield Kennel Club show."
"Shea Stadium Diplomatic Fare: Caviar, Hot Dogs and Stengel",1964-06-21,article,Archives,Archives,[],,The New York Times,"“These are Russians,” said Irving Rudd, the stocky publicity man from Yonkers Raceway, perspiring freely in the shade of the Mets’ dugout."
Man in the News; Unruffled Psychiatrist Dr. Jack Richard Ewalt,1964-05-04,article,Archives,Archives,[],Biog; por,The New York Times,"LOS ANGELES, May 3—When he was approached by a committee seeking a director for a highly controversial project of the Joint Commission on Mental Illness and Health, Dr. Jack Richard Ewalt said that the job required a man who was suicidal. Once the project was finished and the sniping began, he remarked dryly, the director might just as well choose the way of honor and end it all. However, the committee selected him and he accepted the job—serving as an architect of President Kennedy's program on mental health."
POODLE IS VICTOR IN CAPITAL SHOW; Ch. Pixiecroft Sunbeam Best in Washington Fixture,1964-03-16,article,Archives,Archives,"['Dogs', 'SHOWS']",Natl Capital KC,The New York Times,"WASHINGTON, March 15—a brilliant miniature poodle was chosen best in show tonight in the 50th anniversary event of the National Capital Kennel Club. She was the apricot‐colored Ch. Pixiecroft Sunbeam, owned by Mrs. Gardner Cassatt of Bryn Mawr, Pa."
PRESIDENT TAKES PRESS ON A WALK; Newsmen First to Tire on White House Ramble,1964-05-03,article,Archives,Archives,"['PRESS RELATIONS', 'Animals', 'SPORTS', 'Finances', 'BUDGET']","Johnson, at meeting with Cabinet and agency heads, presses cutting costs",The New York Times,"WASHINGTON, May 2—President Johnson held a lighthearted 45‐minute walking “news conference” on the White House grounds today."
Repeat Performances,1964-05-10,article,Archives,Archives,[],,The New York Times,"IN this age of machine‐made adventure and push‐button heroics, when electronics has supplanted sword and sinew, do the older stories of high adventure seem waterish and pastel colored? Judging by a group of recently issued editions and reprints, these tales of bold undertakings need not yield an inch. There is excitement aplenty. The settings may not be metallic, but they are exotic enough, and since the hazards are manmade or natural there is an element of identification that can cool the bone. Death and danger need not come as a chemical compound; they do all right as a ravenous wolf in the freezing north or as a rapier in the hands of a hostile swordsman."
Autumn Evening,1964-10-18,article,Archives,Archives,[],,The New York Times,"Dusk comes early and the evening breeze whispers in the newly fallen leaves. The Dipper hangs low on the northern horizon and Vega is almost overhead, still dimmed by the lingering glow of sunset an hour ago. No bird sings. No katydid rasps. Sere corn blades rustle in the roadside field. The drought‐low brook creeps, almost silent, across the meadow, livened only by the glint of strengthening starlight in its lingering pools."
C.B.S. Presents ‘Music From Hollywood’,1964-05-22,article,Archives,Archives,[],,The New York Times,"MUSIC for not listening to, or almost‐forgotten chords from the Hollywood archives, aws heard last night on WCBS‐TV's “International Hour,” a program that promises to offer samples of television culture from around the world."
Anne Hone Rogers Betrothed To James E. Clark of A. K. C.,1964-03-16,article,Archives,Archives,[],,The New York Times,"MAHOPAC, N. Y., March 15 — William Anderson Rogers of Surrey has announced the engagement of his daughter, Miss Anne Hone Rogers, to James Edward Clark of Ridgefield, Conn. He is the son of James Daley Clark and the late Mrs. Clark of Boston."
Acquisition by Liggett & Myers Adds Pet Foods to Its Products,1964-11-20,article,Archives,Archives,[],Sold to Liggett & Myers,The New York Times,"The Liggett & Myers Tobacco Company, which makes Chesterfield and other well‐known brands of cigarettes, has gone into the pet‐food business. Purchase of the Allen Prod‐ ucts Company, Inc., maker of Alpo dog foods, was announced jointly yesterday by Milton E. Harrington, president of Liggett & Myers, and Robert F. Hunsicker, president of Allen."
SCHOLARS BATTLE TO SAVE CASTILIAN; Madrid Academy Opposes Invasion by English,1964-05-03,article,Archives,Archives,"['Language and Languages', 'SPANISH']",Madrid Royal Acad opens drive to defend Castilian Spanish idiom from invasion by Eng and other foreign expressions,The New York Times,"MADRID, April 27 — Say “perrito caliente” and you get a frankfurter at any Spanish cafeteria. You would also get a cold stare from the Royal Spanish Academy, which resents the phrase—literally hot dog—as an example of what it calls the mongrelization of the Castilian language.The fight north of the Pyrenees against Franglais — Anglicized French — has sharpened the Castilian linguistic conscience."
2 Roosevelt Heirs Begin Sale Tonight Of Mother's Items,1964-09-17,article,Archives,Archives,[],"sale of over 6,000 personal items set",The New York Times,"Personal possessions of Mrs. Franklin D. Roosevelt, including a bed used by Fala, the Roosevelt family's dog, will be sold here beginning tonight at the request of two of Mrs. Roosevelt's children."
THREE GIRLS KILLED BY AUTO IN NASSAU,1964-04-26,article,Archives,Archives,[],,The New York Times,"NORTH BELLMORE, L. I., April 25—Three girls, two of them sisters, were struck and killed by an automobile here last night as they returned home from shopping for school supplies."
Books of The Times; End Papers,1964-04-24,article,Archives,Archives,['BOOK REVIEWS'],J Lennon's book In His Own Write revd,The New York Times,JOHN LENNON IN HIS OWN WRITE. 79 pages. Simon & Schuster. $2.50.
SCOTTISH TERRIER IS BEST IN SHOW; Carmichael's Fanfare Wins at Westchester Fixture,1964-09-07,article,Archives,Archives,[],,The New York Times,"PURCHASE, N. Y., Sept. 6 —Ch. Carmichael's Fanfare, a silver brindle Scottish Terrier owned by Mr. and Mrs. Charles C. Stalter of Woodcliff Lake, N. J., was named best in show today at the largest one‐day fixture in the East—the 47th event of the Westchester Kennel Club."
